fitValue/0/value/intVal,originDataSourceId,endTimeNanos,dataTypeName,startTimeNanos,modifiedTimeMillis,rawTimestampNanos
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57497E+18,com.google.sleep.segment,1.57497E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57497E+18,com.google.sleep.segment,1.57497E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57498E+18,com.google.sleep.segment,1.57497E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57498E+18,com.google.sleep.segment,1.57498E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57502E+18,com.google.sleep.segment,1.57502E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57503E+18,com.google.sleep.segment,1.57502E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57503E+18,com.google.sleep.segment,1.57503E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57503E+18,com.google.sleep.segment,1.57503E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57505E+18,com.google.sleep.segment,1.57505E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57506E+18,com.google.sleep.segment,1.57505E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57506E+18,com.google.sleep.segment,1.57506E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57506E+18,com.google.sleep.segment,1.57506E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57514E+18,com.google.sleep.segment,1.57514E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57514E+18,com.google.sleep.segment,1.57514E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57514E+18,com.google.sleep.segment,1.57514E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57515E+18,com.google.sleep.segment,1.57514E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57519E+18,com.google.sleep.segment,1.57519E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57519E+18,com.google.sleep.segment,1.57519E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57519E+18,com.google.sleep.segment,1.57519E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57522E+18,com.google.sleep.segment,1.57522E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57522E+18,com.google.sleep.segment,1.57522E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57523E+18,com.google.sleep.segment,1.57522E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57524E+18,com.google.sleep.segment,1.57523E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57524E+18,com.google.sleep.segment,1.57524E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57527E+18,com.google.sleep.segment,1.57527E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57527E+18,com.google.sleep.segment,1.57527E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57528E+18,com.google.sleep.segment,1.57527E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57528E+18,com.google.sleep.segment,1.57528E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57529E+18,com.google.sleep.segment,1.57529E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.5753E+18,com.google.sleep.segment,1.57529E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.5753E+18,com.google.sleep.segment,1.5753E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57545E+18,com.google.sleep.segment,1.57544E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57545E+18,com.google.sleep.segment,1.57545E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57546E+18,com.google.sleep.segment,1.57545E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57547E+18,com.google.sleep.segment,1.57546E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57547E+18,com.google.sleep.segment,1.57547E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57547E+18,com.google.sleep.segment,1.57547E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57548E+18,com.google.sleep.segment,1.57547E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57548E+18,com.google.sleep.segment,1.57548E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57548E+18,com.google.sleep.segment,1.57548E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57549E+18,com.google.sleep.segment,1.57548E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57549E+18,com.google.sleep.segment,1.57549E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.5755E+18,com.google.sleep.segment,1.5755E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.5755E+18,com.google.sleep.segment,1.5755E+18,1.60686E+12,0
